2018352120,0.07,0,0.57,0.14,0.84,
2018352120,1.50,1,0.98,0.57,2.70,
2018352120,0.80,0,0.96,0.42,1.99,
2018352120,0.25,0,0.80,0.25,1.28,
2018352120,0.62,0,0.96,0.35,1.83,
2018352120,0.45,0,0.96,0.30,1.54,
2018352120,0.06,0,0.33,0.22,0.85,
2018352120,0.17,0,0.78,0.22,1.01,
2018352120,0.10,0,0.84,0.15,0.74,
2018352120,0.08,0,0.57,0.18,0.79,
2018352120,0.02,0,0.52,0.08,0.39,
2018352120,0.01,0,0.14,0.14,0.58,
2018352121,0.01,0,0.20,0.12,0.50,
2018352121,0.01,0,0.22,0.10,0.56,
2018352121,0.00,0,0.00,0.07,0.30,
2018352121,0.00,0,0.16,0.05,0.24,
2018352121,0.03,0,0.35,0.13,0.59,
2018352121,0.06,0,0.58,0.15,0.67,
2018352121,0.09,0,0.67,0.17,0.82,
2018352121,0.07,0,0.60,0.15,0.80,
2018352121,0.24,0,0.94,0.23,1.14,
2018352121,0.05,0,0.48,0.14,0.69,
2018352121,0.07,0,0.75,0.14,0.64,
2018352121,0.29,0,0.91,0.26,1.23,
2018352121,0.35,0,0.92,0.26,1.46,
2018352121,1.46,1,0.98,0.55,2.71,
2018352121,0.97,0,0.98,0.45,2.21,
2018352121,0.71,0,0.93,0.39,1.93,
2018352121,0.41,0,0.97,0.29,1.47,
2018352121,0.22,0,0.92,0.22,1.12,
2018352122,0.14,0,0.84,0.18,0.94,
2018352122,0.11,0,0.87,0.15,0.82,
2018352122,0.07,0,0.85,0.13,0.70,
2018352122,0.05,0,0.60,0.12,0.66,
2018352122,0.03,0,0.71,0.09,0.51,
2018352122,0.03,0,0.40,0.12,0.55,
2018352122,0.01,0,0.61,0.06,0.42,
2018352122,0.01,0,0.36,0.06,0.40,
2018352122,0.01,0,0.20,0.06,0.44,
2018352122,0.00,0,0.11,0.07,0.43,
2018352122,0.02,0,0.22,0.13,0.54,
2018352122,0.00,0,0.28,0.05,0.28,
2018352122,0.02,0,0.31,0.11,0.56,
2018352122,0.03,0,0.20,0.15,0.92,
2018352122,0.01,0,0.17,0.07,0.43,
2018352122,-0.00,0,-0.06,0.06,0.39,
2018352122,0.00,0,0.12,0.04,0.35,
2018352122,0.00,0,0.02,0.05,0.31,
2018352123,0.00,0,0.07,0.08,0.45,
2018352123,0.01,0,0.15,0.11,0.62,
2018352123,0.05,0,0.37,0.16,0.79,
2018352123,0.13,0,0.67,0.18,1.06,
